Driver,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife
SAI,42.0,97.375,31.107,42.449,23.819,HARD,11.0
VER,42.0,104.824,38.946,42.174,23.704,HARD,6.0
ALO,43.0,96.911,30.956,42.096,23.859,HARD,9.0
HAM,43.0,97.111,30.89,42.235,23.986,HARD,13.0
RUS,43.0,97.48,30.954,42.679,23.847,HARD,12.0
SAI,43.0,97.294,31.141,42.431,23.722,HARD,12.0
VER,43.0,96.89,31.13,42.295,23.465,HARD,7.0
ALO,44.0,97.022,30.817,42.208,23.997,HARD,10.0
HAM,44.0,97.048,30.807,42.353,23.888,HARD,14.0
RUS,44.0,97.597,31.11,42.611,23.876,HARD,13.0
SAI,44.0,97.389,31.2,42.482,23.707,HARD,13.0
VER,44.0,96.236,30.783,42.005,23.448,HARD,8.0
ALO,45.0,97.931,31.048,43.229,23.654,HARD,11.0
HAM,45.0,97.661,30.902,42.666,24.093,HARD,15.0
RUS,45.0,97.316,30.892,42.59,23.834,HARD,14.0
SAI,45.0,99.561,31.572,43.669,24.32,HARD,14.0
VER,45.0,97.015,31.079,42.221,23.715,HARD,9.0
ALO,46.0,97.087,31.144,42.162,23.781,HARD,12.0
HAM,46.0,97.779,30.898,42.786,24.095,HARD,16.0
RUS,46.0,97.571,30.999,42.734,23.838,HARD,15.0
SAI,46.0,97.844,30.975,42.701,24.168,HARD,15.0
VER,46.0,96.701,31.03,42.003,23.668,HARD,10.0
ALO,47.0,97.326,31.293,42.342,23.691,HARD,13.0
HAM,47.0,98.517,31.32,43.157,24.04,HARD,17.0
RUS,47.0,97.432,31.049,42.436,23.947,HARD,16.0
SAI,47.0,98.222,31.548,42.699,23.975,HARD,16.0
VER,47.0,97.009,31.094,42.205,23.71,HARD,11.0
ALO,48.0,96.783,31.076,41.97,23.737,HARD,14.0
HAM,48.0,97.844,30.882,42.772,24.19,HARD,18.0
RUS,48.0,97.52,31.101,42.509,23.91,HARD,17.0
SAI,48.0,97.897,31.407,42.577,23.913,HARD,17.0
VER,48.0,96.918,31.01,42.199,23.709,HARD,12.0
ALO,49.0,96.726,31.058,41.981,23.687,HARD,15.0
HAM,49.0,97.954,30.947,42.945,24.062,HARD,19.0
RUS,49.0,97.718,31.097,42.623,23.998,HARD,18.0
SAI,49.0,97.765,31.407,42.49,23.868,HARD,18.0
VER,49.0,96.962,31.124,42.026,23.812,HARD,13.0
ALO,50.0,96.331,30.933,41.764,23.634,HARD,16.0
HAM,50.0,97.77,30.824,42.711,24.235,HARD,20.0
RUS,50.0,97.383,31.014,42.413,23.956,HARD,19.0
SAI,50.0,97.604,31.261,42.436,23.907,HARD,19.0
VER,50.0,97.25,31.07,42.375,23.805,HARD,14.0
ALO,51.0,96.96,31.158,42.005,23.797,HARD,17.0
HAM,51.0,98.014,31.154,42.759,24.101,HARD,21.0
RUS,51.0,97.825,31.187,42.705,23.933,HARD,20.0
SAI,51.0,97.672,31.269,42.491,23.912,HARD,20.0
VER,51.0,97.427,31.154,42.202,24.071,HARD,15.0
ALO,52.0,97.01,31.043,42.243,23.724,HARD,18.0
HAM,52.0,97.803,31.107,42.69,24.006,HARD,22.0
RUS,52.0,97.589,31.107,42.517,23.965,HARD,21.0
SAI,52.0,97.49,31.184,42.381,23.925,HARD,21.0
VER,52.0,96.919,31.033,42.133,23.753,HARD,16.0
